m,n,p_m,p_n,k,Div,LaRue,Base,Modulator,Drain,Λ Ratio,Nearest Zero,Resonance,λ_P(k),λ_P(m*n),Normalized_Div
1,34,2,139,2,-3.4463733794993107e+26,-2.604363528578674e+29,755.6823,2.604363528578674e+29,79.3112,0.14047,21.02204,3.4463733794993107e+26,0.693147,5.627621,-1.0
1,35,2,149,3,-4.841253590223472e+28,-3.9216477150574395e+31,810.048,3.9216477150574395e+31,85.1809,0.13852,25.010858,4.841253590223472e+28,0.693147,5.697093,-1.0
1,36,2,151,3,-1.3169790405008583e+29,-1.0811358986649834e+32,820.9211,1.0811358986649834e+32,86.2897,0.138152,25.010858,1.3169790405008583e+29,0.693147,5.710427,-1.0
1,37,2,157,3,-2.579224915948119e+30,-2.201472909246602e+33,853.5405,2.201472909246602e+33,89.7488,0.137087,25.010858,2.579224915948119e+30,0.693147,5.749393,-1.0
1,38,2,163,3,-5.0567984654425995e+31,-4.481131901486259e+34,886.1599,4.481131901486259e+34,93.188,0.136078,25.010858,5.0567984654425995e+31,0.693147,5.786897,-1.0
1,39,2,167,3,-3.6946750497889355e+32,-3.354418128667362e+35,907.9061,3.354418128667362e+35,95.4454,0.135433,25.010858,3.6946750497889355e+32,0.693147,5.811141,-1.0
1,40,2,173,3,-7.254838577249929e+33,-6.823360772037985e+36,940.5255,6.823360772037985e+36,98.8529,0.134506,25.010858,7.254838577249929e+33,0.693147,5.846439,-1.0
1,41,2,179,4,-1.4258249310284277e+35,-1.3875342522070839e+38,973.1449,1.3875342522070839e+38,102.2406,0.133622,30.424876,1.4258249310284277e+35,0.693147,5.880533,-1.0
1,42,2,181,4,-3.8794294566015215e+35,-3.817428499994056e+38,984.018,3.817428499994056e+38,103.3144,0.133336,30.424876,3.8794294566015215e+35,0.693147,5.891644,-1.0
1,43,2,191,4,-5.5207115804970665e+37,-5.732616688321721e+40,1038.3837,5.732616688321721e+40,108.9571,0.131971,30.424876,5.5207115804970665e+37,0.693147,5.945421,-1.0
1,44,2,193,4,-1.5023036050211031e+38,-1.5763022518779484e+41,1049.2568,1.5763022518779484e+41,110.0226,0.13171,30.424876,1.5023036050211031e+38,0.693147,5.955837,-1.0
1,45,2,197,4,-1.0998100266567877e+39,-1.1778998824259724e+42,1071.003,1.1778998824259724e+42,112.2148,0.131198,30.424876,1.0998100266567877e+39,0.693147,5.976351,-1.0
1,46,2,199,4,-2.9922506177551464e+39,-3.2372446312147884e+42,1081.8762,3.2372446312147884e+42,113.2615,0.130948,30.424876,2.9922506177551464e+39,0.693147,5.986452,-1.0
1,47,2,211,5,-1.1508149390973237e+42,-1.3201170001580672e+45,1147.1149,1.3201170001580672e+45,119.9385,0.129515,32.935062,1.1508149390973237e+42,0.693147,6.045005,-1.0
1,48,2,223,6,-4.439373286209104e+44,-5.38209060920733e+47,1212.3537,5.38209060920733e+47,126.506,0.12819,37.586178,4.439373286209104e+44,0.693147,6.100319,-1.0
1,49,2,227,6,-3.2558699943325944e+45,-4.0180689976043826e+48,1234.1,4.0180689976043826e+48,128.6446,0.12777,37.586178,3.2558699943325944e+45,0.693147,6.118097,-1.0
1,50,2,229,6,-8.862145463136284e+45,-1.1033132509910692e+49,1244.9731,1.1033132509910692e+49,129.682,0.127564,37.586178,8.862145463136284e+45,0.693147,6.126869,-1.0
1,51,2,233,6,-6.499912124750978e+46,-8.233564345125701e+49,1266.7193,8.233564345125701e+49,131.8031,0.127159,37.586178,6.499912124750978e+46,0.693147,6.144186,-1.0
1,52,2,239,6,-1.2851846649002888e+48,-1.669890189748462e+51,1299.3387,1.669890189748462e+51,135.0015,0.126568,37.586178,1.2851846649002888e+48,0.693147,6.169611,-1.0
1,53,2,241,6,-3.497656357429374e+48,-4.58267077636256e+51,1310.2118,4.58267077636256e+51,136.0164,0.126376,37.586178,3.497656357429374e+48,0.693147,6.177944,-1.0
1,54,2,251,7,-5.030970998429548e+50,-6.865149716356821e+53,1364.5775,6.865149716356821e+53,141.3429,0.125446,40.918719,5.030970998429548e+50,0.693147,6.2186,-1.0
1,55,2,257,7,-9.960022568379041e+51,-1.39161122563547e+55,1397.1969,1.39161122563547e+55,144.4861,0.124912,40.918719,9.960022568379041e+51,0.693147,6.242223,-1.0
1,56,2,263,7,-1.972576304163305e+53,-2.820421637822264e+56,1429.8162,2.820421637822264e+56,147.6111,0.124395,40.918719,1.972576304163305e+53,0.693147,6.265301,-1.0
1,57,2,269,8,-3.908086254135336e+54,-5.715324558582664e+57,1462.4356,5.715324558582664e+57,150.7182,0.123893,43.327073,3.908086254135336e+54,0.693147,6.287859,-1.0
1,58,2,271,8,-1.0636976023338473e+55,-1.5671549859625575e+58,1473.3088,1.5671549859625575e+58,151.7084,0.123729,43.327073,1.0636976023338473e+55,0.693147,6.295266,-1.0
1,59,2,277,8,-2.1081580002903862e+56,-3.174734441375293e+59,1505.9281,3.174734441375293e+59,154.7925,0.123248,43.327073,2.1081580002903862e+56,0.693147,6.317165,-1.0
1,60,2,281,8,-1.5485141892126079e+57,-2.3656254656859643e+60,1527.6744,2.3656254656859643e+60,156.8159,0.122934,43.327073,1.5485141892126079e+57,0.693147,6.331502,-1.0
1,61,2,283,8,-4.214235952138363e+57,-6.483802251397667e+60,1538.5475,6.483802251397667e+60,157.7854,0.12278,43.327073,4.214235952138363e+57,0.693147,6.338594,-1.0
1,62,2,293,9,-6.090332447592642e+59,-9.70137065263743e+62,1592.9132,9.70137065263743e+62,162.9084,0.122029,48.005151,6.090332447592642e+59,0.693147,6.37332,-1.0
1,63,2,307,9,-6.425486979916149e+62,-1.072429868085484e+66,1669.025,1.072429868085484e+66,170.0026,0.121035,48.005151,6.425486979916149e+62,0.693147,6.419995,-1.0
1,64,2,311,10,-4.72381314592925e+63,-7.986887680952802e+66,1690.7713,7.986887680952802e+66,171.9744,0.120762,49.773832,4.72381314592925e+63,0.693147,6.43294,-1.0
1,65,2,313,10,-1.2857896783257181e+64,-2.1879568373509382e+67,1701.6444,2.1879568373509382e+67,172.9289,0.120627,49.773832,1.2857896783257181e+64,0.693147,6.43935,-1.0
1,66,2,317,10,-9.452773759752764e+64,-1.6290822190551048e+68,1723.3907,1.6290822190551048e+68,174.8852,0.120361,49.773832,9.452773759752764e+64,0.693147,6.452049,-1.0
1,67,2,331,11,-1.0002702196968443e+68,-1.7999888314789426e+71,1799.5026,1.7999888314789426e+71,181.8166,0.119465,52.970321,1.0002702196968443e+68,0.693147,6.495266,-1.0
1,68,2,337,11,-1.9879979521283022e+69,-3.642254689383523e+72,1832.122,3.642254689383523e+72,184.7283,0.119096,52.970321,1.9879979521283022e+69,0.693147,6.51323,-1.0
1,69,2,347,12,-2.886415561660923e+71,-5.445187133627141e+74,1886.4876,5.445187133627141e+74,189.5699,0.1185,56.446248,2.886415561660923e+71,0.693147,6.542472,-1.0
1,70,2,349,12,-7.857454261831386e+71,-1.4908425046243267e+75,1897.3607,1.4908425046243267e+75,190.5027,0.118384,56.446248,7.857454261831386e+71,0.693147,6.548219,-1.0
1,71,2,353,12,-5.780983121738976e+72,-1.109432500753876e+76,1919.107,1.109432500753876e+76,192.3982,0.118154,56.446248,5.780983121738976e+72,0.693147,6.559615,-1.0
1,72,2,359,12,-1.1497475102112938e+74,-2.2439925147841945e+77,1951.7264,2.2439925147841945e+77,195.2503,0.117816,56.446248,1.1497475102112938e+74,0.693147,6.57647,-1.0
1,73,2,367,13,-6.18306727054361e+75,-1.2336572443753385e+79,1995.2189,1.2336572443753385e+79,199.0427,0.117376,59.347044,6.18306727054361e+75,0.693147,6.598509,-1.0
1,74,2,373,13,-1.2302661632826934e+77,-2.494780776241253e+80,2027.8382,2.494780776241253e+80,201.8575,0.117054,59.347044,1.2302661632826934e+77,0.693147,6.614726,-1.0
1,75,2,379,14,-2.4483128890107567e+78,-5.044644962927645e+81,2060.4576,5.044644962927645e+81,204.6564,0.11674,60.831779,2.4483128890107567e+78,0.693147,6.630683,-1.0
1,76,2,383,14,-1.8020734288830058e+79,-3.752284286745673e+82,2082.2039,3.752284286745673e+82,206.4993,0.116534,60.831779,1.8020734288830058e+79,0.693147,6.641182,-1.0
1,77,2,389,14,-3.587101519653707e+80,-7.586085738860324e+83,2114.8233,7.586085738860324e+83,209.2722,0.11623,60.831779,3.587101519653707e+80,0.693147,6.656727,-1.0
1,78,2,397,15,-1.931446259642744e+82,-4.168670924564257e+85,2158.3158,4.168670924564257e+85,212.9596,0.115835,65.112544,1.931446259642744e+82,0.693147,6.677083,-1.0
1,79,2,401,15,-1.4219488395087933e+83,-3.0999366685310145e+86,2180.062,3.0999366685310145e+86,214.7716,0.115641,65.112544,1.4219488395087933e+83,0.693147,6.687109,-1.0
1,80,2,409,15,-7.659746753192635e+84,-1.7031864635217798e+88,2223.5545,1.7031864635217798e+88,218.418,0.115261,65.112544,7.659746753192635e+84,0.693147,6.706862,-1.0
1,81,2,419,16,-1.1165897111464715e+87,-2.543502227145874e+90,2277.9202,2.543502227145874e+90,222.9449,0.1148,67.079811,1.1165897111464715e+87,0.693147,6.731018,-1.0
1,82,2,421,16,-3.0393761238474757e+87,-6.956503707112394e+90,2288.7933,6.956503707112394e+90,223.8156,0.114709,67.079811,3.0393761238474757e+87,0.693147,6.73578,-1.0
1,83,2,431,17,-4.4329598994067064e+89,-1.0387129601808292e+93,2343.1589,1.0387129601808292e+93,228.2927,0.114266,69.546402,4.4329598994067064e+89,0.693147,6.759255,-1.0
1,84,2,433,17,-1.2066414925518092e+90,-2.840472762550733e+93,2354.0321,2.840472762550733e+93,229.1534,0.114178,69.546402,1.2066414925518092e+90,0.693147,6.763885,-1.0
1,85,2,439,17,-2.4046667420995125e+91,-5.739101355705951e+94,2386.6514,5.739101355705951e+94,231.8,0.11392,69.546402,2.4046667420995125e+91,0.693147,6.777647,-1.0
1,86,2,443,17,-1.7711054419251638e+92,-4.265526272816108e+95,2408.3977,4.265526272816108e+95,233.542,0.113751,69.546402,1.7711054419251638e+92,0.693147,6.786717,-1.0
1,87,2,449,18,-3.5301702371699296e+93,-8.617205851145248e+96,2441.0171,8.617205851145248e+96,236.1642,0.1135,72.067158,3.5301702371699296e+93,0.693147,6.80017,-1.0
1,88,2,457,18,-1.9045195163586197e+95,-4.7317970050426055e+98,2484.5096,4.7317970050426055e+98,239.6521,0.113173,72.067158,1.9045195163586197e+95,0.693147,6.817831,-1.0
1,89,2,461,18,-1.4029536818300234e+96,-3.5161608665281807e+99,2506.2558,3.5161608665281807e+99,241.365,0.113012,72.067158,1.4029536818300234e+96,0.693147,6.826545,-1.0
1,90,2,463,18,-3.8184226791170895e+96,-9.611462357350415e+99,2517.129,9.611462357350415e+99,242.1942,0.112932,72.067158,3.8184226791170895e+96,0.693147,6.830874,-1.0
1,91,2,467,19,-2.8127848647271642e+97,-7.14130981413242e+100,2538.8752,7.14130981413242e+100,243.8942,0.112774,75.704691,2.8127848647271642e+97,0.693147,6.839476,-1.0
1,92,2,479,19,-1.112392347606608e+100,-2.896796476622071e+103,2604.114,2.896796476622071e+103,249.0586,0.112311,75.704691,1.112392347606608e+100,0.693147,6.864848,-1.0
1,93,2,487,20,-6.006065069386808e+101,-1.5901696922651697e+105,2647.6065,1.5901696922651697e+105,252.4515,0.11201,77.14484,6.006065069386808e+101,0.693147,6.881411,-1.0
1,94,2,491,20,-4.425363183320595e+102,-1.181285540769211e+106,2669.3528,1.181285540769211e+106,254.117,0.111862,77.14484,4.425363183320595e+102,0.693147,6.889591,-1.0
1,95,2,499,21,-2.390042745999134e+104,-6.483816146158424e+107,2712.8453,6.483816146158424e+107,257.4728,0.111571,79.337375,2.390042745999134e+104,0.693147,6.905753,-1.0
1,96,2,503,21,-1.7611688954232733e+105,-4.816077525708031e+108,2734.5915,4.816077525708031e+108,259.1196,0.111428,79.337375,1.7611688954232733e+105,0.693147,6.913737,-1.0
1,97,2,509,21,-3.513863652551472e+106,-9.723601805272835e+109,2767.2109,9.723601805272835e+109,261.6002,0.111216,79.337375,3.513863652551472e+106,0.693147,6.925595,-1.0
1,98,2,521,22,-1.3920634373764165e+109,-3.942949617209616e+112,2832.4497,3.942949617209616e+112,266.5617,0.110802,82.910381,1.3920634373764165e+109,0.693147,6.948897,-1.0
1,99,2,523,22,-3.788733889254932e+109,-1.0772593422293963e+113,2843.3228,1.0772593422293963e+113,267.3499,0.110734,82.910381,3.788733889254932e+109,0.693147,6.952729,-1.0
1,100,2,541,24,-2.9828489827615928e+113,-8.773098570202412e+116,2941.1809,8.773098570202412e+116,274.6855,0.110138,87.425275,2.9828489827615928e+113,0.693147,6.986566,-1.0
2,2,3,3,1,0.99349446,24.3054,24.4645,0.1592,0.0,1.0,14.134725,-12.425033,1.098612,2.197225,0.49836831
2,3,3,5,1,0.96583583,39.3812,40.7742,0.5299,0.8632,0.682606,14.134725,-11.975227,1.098612,2.70805,0.49131052
2,4,3,7,1,0.9416419,53.7526,57.0839,1.6631,1.6682,0.564575,14.134725,-11.521956,1.098612,3.044522,0.48497197
2,5,3,11,1,0.80647787,72.3437,89.7033,13.7394,3.6202,0.458157,14.134725,-10.702191,1.098612,3.496508,0.44643662
2,6,3,13,1,0.57031059,60.4603,106.013,40.9122,4.6404,0.428317,14.134725,-10.460893,1.098612,3.663562,0.3631833
2,7,3,17,1,-1.4052557,-194.8139,138.6324,326.5243,6.922,0.387762,14.134725,-8.671018,1.098612,3.931826,-0.58424379
2,8,3,19,1,-5.17579337,-801.9481,154.9421,948.8684,8.0218,0.373114,14.134725,-4.423016,1.098612,4.043051,-0.83807748
2,9,3,23,1,-38.70436831,-7259.4473,187.5614,7436.545,10.4638,0.350379,14.134725,30.060489,1.098612,4.234107,-0.97481385
2,10,3,29,1,-664.82351522,-157224.4582,236.4905,157446.6406,14.3082,0.32626,14.134725,657.61203,1.098612,4.465908,-0.9984981
2,11,3,31,1,-1774.66816088,-448636.4838,252.8002,448873.7648,15.5193,0.319923,14.134725,1767.934141,1.098612,4.532599,-0.99943683
2,12,3,37,1,-31208.39765446,-9416487.4466,301.7293,9416769.698,19.4779,0.304247,14.134725,31203.096029,1.098612,4.70953,-0.99996796
2,13,3,41,1,-216606.00892809,-72421929.8945,334.3487,72422242.1391,22.1041,0.295837,14.134725,216601.662232,1.098612,4.812184,-0.99999538
2,14,3,43,1,-582604.58982611,-204295167.5914,350.6584,204295494.8936,23.3562,0.292091,14.134725,582600.720595,1.098612,4.859812,-0.99999828
2,15,3,47,1,-4076764.93932885,-1562533243.5402,383.2777,1562533600.8096,26.0083,0.285343,14.134725,4076762.025027,1.098612,4.94876,-0.99999975
